time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,17,7,0,0
2026-05-26 00:00:00+00:00,18,4,0,0
2026-05-27 00:00:00+00:00,25,11,0,0
2026-05-28 00:00:00+00:00,13,4,0,0
2026-05-29 00:00:00+00:00,13,4,0,0
2026-05-30 00:00:00+00:00,45,11,0,0
2026-05-31 00:00:00+00:00,12,6,1,1
2026-06-01 00:00:00+00:00,20,6,0,0
2026-06-02 00:00:00+00:00,29,7,2,1
2026-06-03 00:00:00+00:00,25,7,0,0
2026-06-04 00:00:00+00:00,16,15,0,0
2026-06-05 00:00:00+00:00,11,2,0,0
2026-06-06 00:00:00+00:00,41,9,0,0
2026-06-07 00:00:00+00:00,1,1,0,0
