time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,20,6,0,0
2026-04-01 00:00:00+00:00,15,5,0,0
2026-04-02 00:00:00+00:00,10,6,0,0
2026-04-03 00:00:00+00:00,20,6,0,0
2026-04-04 00:00:00+00:00,22,9,0,0
2026-04-05 00:00:00+00:00,37,8,0,0
2026-04-06 00:00:00+00:00,11,6,0,0
2026-04-07 00:00:00+00:00,18,4,0,0
2026-04-08 00:00:00+00:00,3,3,0,0
2026-04-09 00:00:00+00:00,19,4,0,0
2026-04-10 00:00:00+00:00,31,9,0,0
2026-04-11 00:00:00+00:00,38,10,0,0
2026-04-12 00:00:00+00:00,33,11,0,0
2026-04-13 00:00:00+00:00,41,13,0,0
